id,name
1,オリンピックスタジアム
2,東京アクアティクスセンター
3,東京辰巳国際水泳場
4,お台場海浜公園
5,夢の島公園アーチェリー場
6,皇居外苑
7,武蔵野の森総合スポーツプラザ
8,福島あづま球場
9,横浜スタジアム
10,青海アーバンスポーツパーク
11,さいたまスーパーアリーナ
12,国技館
13,カヌー・スラロームセンター
14,海の森水上競技場
15,有明アーバンスポーツパーク
16,伊豆MTBコース
17,富士スピードウェイ
18,伊豆ベロドローム
19,馬事公苑
20,海の森クロスカントリーコース
21,幕張メッセ　Bホール
22,札幌ドーム
23,宮城スタジアム
24,東京スタジアム
25,茨城カシマスタジアム
26,横浜国際総合競技場
27,埼玉スタジアム2002
28,霞ヶ関カンツリー倶楽部
29,有明体操競技場
30,国立代々木競技場
31,大井ホッケー競技場 （ノースピッチ）
32,大井ホッケー競技場 （サウスピッチ）
33,日本武道館
34,江の島ヨットハーバー
35,陸上自衛隊朝霞訓練場 （R＆P 本選・ファイナル）
36,陸上自衛隊朝霞訓練場 （R＆P ファイナルホール）
37,陸上自衛隊朝霞訓練場 （クレー射場）
38,釣ヶ崎海岸サーフィンビーチ
39,東京体育館
40,幕張メッセ　Aホール
41,有明テニスの森 （センターコート）
42,有明テニスの森 （コート1）
43,有明テニスの森 （コート2）
44,有明テニスの森 （コート3-11）
45,潮風公園
46,有明アリーナ
47,東京国際フォーラム
